ZipCode,Yelp_Restaurant_Count,Yelp_Avg_Rating,Yelp_Avg_Review_Count,Num_Thai,Num_Coffee,Num_FastFood,Num_Japanese,Num_Italian,Num_American,Num_Bars,Num_HighEnd_Price4
20611,1,3.9,14.0,0,0,0,0,0,0,1,0
20689,0,0.0,0.0,0,0,0,0,0,0,0,0
20194,19,3.38,144.1,3,11,5,1,5,6,5,0
22027,25,3.23,97.5,4,9,5,3,3,4,4,0
22201,293,3.85,888.1,31,124,61,22,60,92,66,0
20105,0,0.0,0.0,0,0,0,0,0,0,0,0
22172,0,0.0,0.0,0,0,0,0,0,0,0,0
22610,0,0.0,0.0,0,0,0,0,0,0,0,0
20032,33,2.33,14.5,0,7,5,0,1,5,2,0
20853,10,3.09,147.6,2,4,4,1,2,1,1,0
21788,0,0.0,0.0,0,0,0,0,0,0,0,0
21703,4,2.35,4.8,1,0,0,0,1,1,0,0
20817,2,0.0,0.0,0,0,0,1,0,0,0,0
22310,34,2.62,144.1,5,12,18,2,9,4,0,0
22308,4,3.88,125.8,1,4,1,0,1,2,1,0
21757,0,0.0,0.0,0,0,0,0,0,0,0,0
20748,21,2.05,28.4,1,5,6,1,3,3,0,0
22630,18,4.03,87.9,2,12,0,1,3,9,8,0
20781,68,3.44,162.5,4,27,13,3,3,14,7,0
22735,0,0.0,0.0,0,0,0,0,0,0,0,0
20735,5,1.86,20.0,0,3,1,0,0,0,0,0
20191,20,3.42,94.0,2,12,4,1,2,2,1,0
22408,0,0.0,0.0,0,0,0,0,0,0,0,0
20623,0,0.0,0.0,0,0,0,0,0,0,0,0
20708,15,2.15,28.3,0,3,1,0,2,2,2,1
22728,0,0.0,0.0,0,0,0,0,0,0,0,0
20181,3,4.17,128.3,0,3,2,0,1,0,0,0
20664,0,0.0,0.0,0,0,0,0,0,0,0,0
20152,47,3.04,85.4,4,21,14,1,7,10,5,0
20136,21,3.11,83.7,4,8,8,2,4,3,0,0
22657,6,3.98,138.3,0,4,0,0,0,2,0,0
20676,1,3.0,75.0,0,0,0,0,0,1,1,0
22079,0,0.0,0.0,0,0,0,0,0,0,0,0
20815,105,3.76,313.1,11,56,18,8,20,36,22,1
20736,1,2.3,23.0,0,0,1,0,1,0,0,0
20901,21,2.66,66.8,1,12,6,2,5,1,2,0
20678,6,2.77,52.8,2,2,1,0,2,0,0,0
20886,4,1.25,0.5,1,1,0,0,0,0,0,0
21793,10,3.3,27.5,1,2,3,0,2,2,1,0
20842,0,0.0,0.0,0,0,0,0,0,0,0,0
20877,66,3.58,78.9,0,17,12,1,6,11,5,1
20658,1,5.0,1.0,0,0,0,0,0,0,0,0
22193,32,2.47,37.9,0,8,10,0,4,1,1,0
20137,0,0.0,0.0,0,0,0,0,0,0,0,0
20743,18,1.41,12.6,0,4,4,0,0,2,1,0
22101,56,3.66,165.6,11,26,13,5,18,9,4,0
22209,252,3.86,1116.1,29,120,51,25,67,83,70,1
20117,0,0.0,0.0,0,0,0,0,0,0,0,0
20740,45,3.09,112.6,3,27,15,1,5,9,2,0
20601,0,0.0,0.0,0,0,0,0,0,0,0,0
20170,81,3.69,199.3,7,30,19,3,14,18,11,0
20007,137,3.97,573.7,12,77,28,19,42,36,37,2
20841,0,0.0,0.0,0,1,0,0,0,0,0,0
22733,0,0.0,0.0,0,0,0,0,0,0,0,0
20785,36,2.15,16.6,0,3,11,0,2,7,2,0
20745,71,3.03,136.5,1,14,18,3,13,21,13,1
22044,131,3.77,357.3,32,38,20,7,5,11,5,0
20677,2,1.4,87.0,0,0,1,0,0,1,2,0
20164,37,3.25,96.8,1,19,8,4,6,10,7,0
22301,115,3.94,457.9,9,64,17,3,40,30,27,1
20721,5,1.92,5.0,0,1,0,0,2,1,0,0
20198,0,0.0,0.0,0,0,0,0,0,0,0,0
21702,1,0.0,0.0,0,1,0,0,0,1,0,0
20008,103,3.81,486.1,17,49,19,4,25,23,25,0
20613,2,2.3,2.5,0,0,0,0,0,1,1,0
22713,0,0.0,0.0,0,0,0,0,0,0,0,0
22015,35,2.99,104.9,6,19,13,4,4,10,3,0
20112,6,2.77,41.3,0,4,2,0,2,0,0,0
22303,88,3.54,224.6,11,28,22,6,21,20,9,0
20818,6,3.25,110.3,0,2,2,1,4,1,0,0
20861,3,3.9,142.7,1,2,0,0,0,1,0,0
21769,0,0.0,0.0,0,0,0,0,0,0,0,0
22041,80,3.51,190.3,11,25,15,0,7,6,19,0
20109,67,3.32,96.3,6,25,25,5,5,21,2,0
20851,68,3.66,283.7,10,30,13,11,11,6,4,0
20860,4,3.85,128.8,1,3,0,0,0,1,0,0
21701,4,1.15,2.5,0,1,1,0,1,0,0,0
20814,27,2.49,45.1,0,14,7,2,3,5,1,0
20024,194,3.8,434.2,13,63,34,8,27,57,46,5
20675,0,0.0,0.0,0,0,0,0,0,0,1,0
20175,0,0.0,0.0,0,0,0,0,0,0,0,0
22315,43,3.27,201.9,7,20,22,3,14,10,4,0
20872,21,3.23,50.2,0,8,5,1,6,4,1,0
22620,2,4.35,59.0,0,2,1,0,0,1,1,0
20747,64,2.95,32.0,1,11,22,1,8,7,2,0
20879,41,2.82,68.8,1,15,11,0,4,7,1,0
21774,0,0.0,0.0,0,0,0,0,0,0,0,0
20722,72,3.42,62.0,0,20,12,0,7,12,9,0
22534,0,0.0,0.0,0,0,0,0,0,0,0,0
20120,2,0.0,0.0,0,1,0,0,0,0,0,0
22152,27,3.25,109.6,3,10,13,1,5,4,1,0
20005,1300,3.91,2828.7,93,440,220,92,267,419,444,27
20662,0,0.0,0.0,0,0,0,0,0,0,0,0
22153,0,0.0,0.0,0,0,0,0,0,0,0,0
22191,34,2.78,47.4,1,6,13,2,1,4,1,0
21754,0,0.0,0.0,0,0,0,0,0,0,0,0
20158,2,3.6,160.5,0,2,1,0,1,2,1,0
20180,11,4.07,84.4,2,4,0,0,3,3,1,0
21791,0,0.0,0.0,0,0,0,0,0,0,0,0
20130,0,0.0,0.0,0,0,0,0,0,0,0,0
20111,9,2.12,19.4,1,1,1,0,0,1,0,0
22712,2,2.35,6.0,0,1,0,0,0,0,0,0
20036,1000,3.91,2333.5,69,390,173,68,225,364,390,23
