ZipCode,City,State,MedianPrice,Livability_Score,PredictedPrice,Residual
22066,Great Falls,VA,1633353.171350376,25.6,626183.039406518,1007170.131943858
22101,McLean,VA,1606340.8244520251,38.2,661982.7098362583,944358.1146157668
20015,Washington,DC,1391789.067923114,36.8,658004.9686773983,733784.0992457157
20816,Bethesda,MD,1356616.5606064147,35.9,655447.8493609882,701168.7112454264
22207,Arlington,VA,1360496.673492187,40.1,667381.0728375685,693115.6006546185
20854,Potomac,MD,1282066.5982313568,14.2,593792.8613986576,688273.7368326993
20817,Bethesda,MD,1287573.278586003,20.3,611124.4478765478,676448.8307094552
20812,Glen Echo,MD,1315162.7237080575,31.9,644082.8746213882,671079.8490866694
22027,Dunn Loring,VA,1320904.4614293072,38.7,663403.3316787084,657501.1297505988
20815,Chevy Chase,MD,1337825.4852937171,46.8,686417.4055263987,651408.0797673184
20197,Waterford,VA,1251286.1276706185,21.6,614818.0646669179,636468.0630037006
20818,Cabin John,MD,1268932.2674607318,29.4,636979.765409138,631952.5020515937
20129,Waterford,VA,1191205.316187424,8.6,577881.8967632174,613323.4194242065
22182,Vienna,VA,1224190.832966109,25.1,624762.417564068,599428.415402041
20184,Upperville,VA,1205807.5602574532,19.0,607430.8310861777,598376.7291712755
22039,,VA,1159634.3610849434,12.0,587542.1252918775,572092.2357930659
20117,Middleburg,VA,1127819.1179050484,8.4,577313.6480262374,550505.469878811
20007,Washington,DC,1240408.572783155,48.8,692099.8928961987,548308.6798869562
22181,Vienna,VA,1097427.9033774512,19.4,608567.3285601378,488860.57481731346
20016,Washington,DC,1159154.8077035483,44.3,679314.2963141486,479840.51138939976
20105,Aldie,VA,1059592.4691371724,11.4,585837.3790809375,473755.09005623497
22205,Arlington,VA,1156059.512995677,46.7,686133.2811579087,469926.23183776834
22124,Oakton,VA,1058990.5375889528,15.7,598054.7269260077,460935.81066294515
20143,Catharpin,VA,1030375.9548928472,10.5,583280.2597645274,447095.6951283198
22213,Arlington,VA,1099356.7603325157,41.5,671358.8139964285,427997.9463360872
20896,Garrett Park,MD,1074416.5669693751,41.4,671074.6896279384,403341.8773414367
20124,Clifton,VA,1004578.559878699,26.8,629592.531828398,374986.028050301
22046,Falls Church,VA,1046653.8842379674,45.2,681871.4156305586,364782.4686074088
22180,Vienna,VA,1031859.0475141476,42.6,674484.1820498186,357374.865464329
20144,Delaplane,VA,922662.532556074,5.2,568221.6682345574,354440.8643215166
20862,Brinklow,MD,917994.0929040202,11.6,586405.6278179175,331588.4650861027
20861,Ashton,MD,955702.793508815,25.7,626467.1637750079,329235.62973380706
22301,Alexandria,VA,1022627.4133348736,50.0,695509.3853180788,327118.0280167948
20198,The Plains,VA,897738.6115554533,7.5,574756.5287098275,322982.0828456258
22308,Fort Hunt,VA,958078.5189684614,29.0,635843.2679351781,322235.2510332833
20158,Hamilton,VA,910561.566057175,20.0,610272.0747710778,300289.4912860972
22639,Hume,VA,861519.692285637,4.1,565096.3001811673,296423.3921044697
20132,Purcellville,VA,863240.9769207643,7.3,574188.2799728474,289052.6969479169
20841,Germantown,MD,847137.8715242507,10.3,582712.0110275475,264425.8604967032
20148,Ashburn,VA,891964.0893436897,33.8,649481.2376226982,242482.85172099154
20176,Leesburg,VA,817414.1808296187,8.8,578450.1455001974,238964.03532942128
20141,Round Hill,VA,836206.2874162864,15.8,598338.8512944976,237867.4361217888
20175,Leesburg,VA,814477.238829675,11.1,584985.0059754675,229492.2328542075
20833,Brookeville,MD,812237.4014808334,11.4,585837.3790809375,226400.02239989594
22043,Falls Church,VA,912015.447414753,47.2,687553.9030003587,224461.5444143943
20814,Bethesda,MD,887875.0820297388,40.7,669085.8190485084,218789.2629812304
22032,Fairfax,VA,842495.9690982631,27.6,631865.5267763181,210630.44232194498
